User,Text,Date
@TenbaggerIndex,"Skoda Rapid bakabilirsiniz hocam. bagaj ihtiyacınızı karşılayacak, volkswagen grubunda, 12-13 yaşında ve 700bine denk getirebileceğiniz bir araç. 8 sene 2015 modelini sorunsuz kullandım.",2025-12-26T20:29:02.000Z
@turgaytuncer17,"Toyota,Honda ve Hyundainin 700 bin TL ye satılan tüm modelleri! Bu markalarda yaş ve km nin hiçbir önemi yok.yeterki bakımları zamanında yapılmış olsun.",2025-12-26T21:09:26.000Z
@ilkerbirol41,"Hyundai Accent blue 1.4 d cvvt benzinli. 6 ileri Manuel.2013 sonrası olsun.(Kendi arabamdan bahsediyorum) Sadece senelik bakımları yaptırıp biniyorum. Çok memnunum. Tavsiyem ; Çin arabası,üç silindirli motor, elektrikli araba alma...",2025-12-26T21:22:50.000Z
@ugurorman__,"1.5 dci megane hb otomatik 2015. 200K km civarı.(yedekparçanın cb si diyebileceğim bir genel müdür arkadaş eşine bu aracı aldı, ayrıca 2020 sonrası hiçbir araç da sorunsuz değildir diyor, özellikle bir marka var ki 3 yıl dolmadığı İçin sandık motor yetiştiremiyor )",2025-12-26T20:37:08.000Z
@kumas_huseyin,"Kia ceed 2011 kullanıyorum; içi geniş, otomatik vites, en ufak sorun yaşamadım.  Yakıt konusunda da  ekonomik..",2025-12-26T20:34:44.000Z
@kasimelsaddam,Mitsubishi Lancer 2013 1.5 manuel atmosferik motor.,2025-12-26T20:40:56.000Z
@desper27,Ford focus sedan abi 10 senede tek arızası yok,2025-12-26T20:23:05.000Z
@mehmetakblt,manuel dizel accent blue km düşük olmasına dikkat et ömürlük binersin,2025-12-26T20:13:57.000Z
@KrauNet,Egea kanka başka araba bakma. İdare edecen mecbur. 5 yıl kullandım hiç üzmedi. Otomatik alamıyorsan 1.3 dizelini al.,2025-12-26T17:01:11.000Z
@tonys7707,Fluence var bizde hiç sorun çıkarmadı yağını suyuna baktır rahat kafa bin git,2025-12-26T20:28:21.000Z
@umraniyeyisikim,kazalı belalı çakal kasa e46,2025-12-26T20:42:46.000Z
@Cihan930246,Barış kardeşim bahsettiğiniz tutar km olarak düşük derseniz en ideal egea Toyota’da bulursanız bence kaçırmayın manuel arbalar genelde ben sizin yerinizde olsam biraz daha bekler biriktirir 1 mılyon tl ile bakarım ozaman seçenekler çoğalır,2025-12-26T20:23:48.000Z
@akarfurkan2455,Reis kafan rahat olasını istersen Toyota avansis veya coralla grubuna bakmanı öneririm avansis bende var hem içi geniş hem bagaj kısmı.,2025-12-26T20:46:49.000Z
@furkansfrglu,"Sorunun cevabı belli kesinlikle Egea. Alabileceğiniz en modelli en düşük km araç olacaktır. Bende aile aracı olarak kullanmaktayım, öncelikle bakmanız gereken şey yürütme maliyeti. Bakımı ucuz, parçası ve ustası bol yakıtı da gayet iyi. Ben çok memnunum kesinlikle tavsiye ederim",2025-12-26T21:07:55.000Z
@muratkeenhotma1,"Citroen C4 2012-2013 model yarı otomatik dizel,1.6 motor 116 beygir",2025-12-26T21:00:14.000Z
@FzlDgny,Kilometresi düşük ve temiz kullanılmış olmak kaydıyla Seat EXEO yu tek geçerim.Hem fiyatı daha uygun hemde tavsiye edilen çoğu araçtan daha konforlu .,2025-12-26T20:39:26.000Z
@onrbtm,Clio rahat satılır sonrasında hemde model yılı yüksek olur ne kadar yeni o kadar iyi,2025-12-26T21:36:28.000Z
@omerunlu88,Taliantlar var otomatik çokta fazla ilan var kullananlar varsa tecrübelerini yazarsa seviniriz,2025-12-26T20:15:12.000Z
@Emin__JK,Ben 4 yıl önce bütçem az diye taliant almıştım. 50k km oldu sıkıntı yaşamadım. Renault 1.0tce motoru çok sıkıntılı bir motor değil zaten. Şanzıman da en az sıkıntı çıkaran şanzımanlardan muhtemelen. Güç olarak 90bg hiç tatmin etmese de sanayi derdim yok şok şükür.,2025-12-26T21:02:04.000Z
@macak9912,Skoda rapid hatchback olan bence mütiş sorunsuz  kmsi düşük gayet kaliteli bir araba olur,2025-12-26T20:31:20.000Z
@ExpressParti,"M Lancer: 1.5 1.6 Invite: Manuel Sorun çıkarmaz, otomatik CVT oda iyidir. 7 senelik arabamı yeni boyattım tertemiz biniyorum satma fikrim de yok",2025-12-26T20:28:29.000Z
@mstfgrglu,Yollarda en çok hangi marka araç görüyorsanız o arabalar sorunsuzdur.  Fiat Egea kullanıcısı değilim ama bu arabayı kötüleyenler araçtan anlamayan insanlardır.  Konforla fiyat performansı karıştıran insanların önerdiği araçlara bakmayın.  Fiat Renault bu ülkenin demirbaşıdır.,2025-12-26T21:22:48.000Z
@magdurcann,Egea,2025-12-26T21:29:20.000Z
@FTMO_com,Become an FTMO Trader today and gain up to 90% of your simulated profits. Start now!,Unknown
@rahmidalici,Dacia Sandero / Stepway,2025-12-26T06:46:17.000Z
@ErhanVeli1,- 1.5 dci clio - Hyundai Accent blue - İ20-i30 eski - Egea 1.3 dizel veya 1.4 fire - 1.5 dci Sandero - Eski kasa Corolla - 1.33 Auris life kasa.,2025-12-26T21:53:13.000Z
@_Ases__,Bende Otomatik Accent Blue var. Tavziye ederim. Bakım harici sanayi göstermedi,2025-12-26T20:59:33.000Z
@dogutuna,Yüksek model istiyorsan egea 1.3 dizel al gec . Aile içinse Auris/ Corolla al gec.bende Honda Civic hb var,2025-12-26T20:11:33.000Z
@1zaman_daha,"Şansın varsa  hepsi uyar, ben 4 yıl önce ilk sahibinden 1992 modrmel 141.000 km de   fort festiva aldım şu anda 225 bin km de ve haftanın 6 günü günlük 75 km yol yapıyorum , allah nazardan korusun , ufak tefek sorunlar haricinde  hiç sorun çıkarmadı , yağına suyuna düzenli",2025-12-26T21:21:36.000Z
@muratgurlekk,"2015-2018 arası Egea 1.3 m.jet al. 1 milyon km. yaparsın. Hem performans,hem yakıt hem fiyat &performans.",2025-12-26T20:57:51.000Z
@canbeylideniz,"Clio, corolla, focus ya da Volvo s40 şaşma reis",2025-12-26T21:27:33.000Z
@Nazifhfo,Hyundai i20,2025-12-26T19:56:59.000Z
@nnemo167483,"400-500 bine düşük km 2011 Linea 1.3 dizel al üzmez abicim , masrafsız binip az yakayım az vergisi olsun dersen, yoksa 700 bine e60 BMW var masraf edersiniz ama",2025-12-26T21:41:46.000Z
@uzunozmen,İ20,2025-12-26T20:43:16.000Z
@du63079397,Suv araç olarak hyundai ix35 öneririm. Kendimde kullanıyorum. Gayet iyi bir araç. 700-800 aralığında temiz bulursun,2025-12-26T21:10:38.000Z
@srknolgn,Dusuk km temiz bulunabilirse fiat egea 1.3 multijet urban paket. Uzmez cep dostu muhtesem bi konfor yok ama fiyat performans araci 3.5 yildir kullaniyorum cok memnunum.,2025-12-26T20:13:00.000Z
@sahinduyum,Ne alırsan al ama 700 bin bütçeyle otomatik vitese girme. Manüel  2015/2016 i20 tavsiye ederim lakin 1.4 crdi dizel olmak kaydıyla.,2025-12-26T20:59:58.000Z
@atay13008581,Faytons,2025-12-26T23:16:29.000Z
@Kama05603505,"10 yıl Mazda 3 kullandım, 1 kere bile sanayiye düşürmedi, yıllık bakımlarını yaptım bindim. Piyasası yok ama çok kaliteli bir araba, bu paraya temiz Mazda 3 alınır.",2025-12-26T20:29:26.000Z
@ickarartan12,corolla civic focus olması gerekenden çok daha pahalıya satılıyor onlara bakmanı önermem,2025-12-26T20:07:13.000Z
@Orhan13596066,Başa takılma  Volkswagen Golf 6 (2010 -2012) al hem konforun hem sessizliğin hemde alman kalitesi yaşa keyfine bak :),2025-12-26T20:48:16.000Z
@leomorddx,hocam kimse ticarilerden bahsetmemiş ama aile arabası için tam 2017-2020 hem yaşı genç kmsi düşük fiat doblolara bakabilirsiniz parçası ucuz yakmaz 1.6 multijete bakarsanız yürüyeni de güzel önerebilirim,2025-12-26T20:22:46.000Z
@alivaroll,"Megane 3, 1.5  2011-2014 arası",2025-12-26T20:59:24.000Z
@msenturk041,Fluence 1.5 dci geniş ve masrafsız tam bir aile araçı dostum,2025-12-26T21:16:20.000Z
@TurkS68565,0.9 tce (turbolu performansı fena değil  ) cam tavan olanlarından bulursan tadından yenmez yada 1.5dciyı,2025-12-26T21:00:19.000Z
@cnytgnd,fiat egea 1.4 urban benzin lpg 2020+,2025-12-26T20:56:49.000Z
@AhmetBAhmetolu,2006 Avensis düşük km,2025-12-26T20:54:20.000Z
@BIackEaglee1903,Japon al kafan rahat olsun corolla iyidir,2025-12-26T20:58:28.000Z
@investium360,Valla dertsiz tasasız araba istiyorsanız japon arabaları iyi .,2025-12-26T20:55:03.000Z
@FFerhatyardm,Egea 1.6 e-torq  - Aisin marka sorunsuz japon şanzuman - 6 ileri tam otomatik - Lpg'ye tam uyumlu atmosferik sorunsuz motor,2025-12-26T21:40:28.000Z
@mustitrk,"elantra, accent, corolla",2025-12-26T20:06:04.000Z
@faikcanylmzz,1.5 dci clio 4 al arkana bakma,2025-12-26T20:34:07.000Z
@ibnatiyye,"Symbol hocam. 1.5 Dci motorun zaten namı yürüyor, parça - bakım maaliyetleri uygun. Ama her arabanın bir şans payı vardır. Sıfır araba bile bazen şaka yapabilir.",2025-12-26T21:32:13.000Z
@HakanArslankoc,2014 C-max bakın dolu paket. Geniş aile arabası.,2025-12-26T21:55:15.000Z
@yusufaltuntas61,6 yıl 2017 model easy (bos paket) 1.3 egea kullandım  sorunsuzluk abidesi bir motoru var 92 binde aldım 225 binde sattım bu süre zarfında tüm bakımları serviste yaptırdım (servisi sanayiden ucuz bakim yapiyor) tek bur sorun yaşamadım ama arabayida baktım   temiz bulursanız alin,2025-12-26T21:28:34.000Z
@vuslathilal1299,Aynı sıkıntıyı bende yaşadım Ford torneo courıer 1.0 motor eco boost titanyum plus aldım.  En fulu az km yüksek model sürüş keyfi mükemmel tavsiye ederim.  Sadece kamyonet olması dezavantaj,2025-12-26T21:22:40.000Z
@Celik63Vedat,2018 ve üstü egea alınabilir DİZEL olmak şartı ile veya Toyota Corolla 2014 ve üstü alınabilir,2025-12-26T21:53:26.000Z
@13e9mason,2005-2009 arası corolla 1.6 benzin lpg alabilirsin hem yakıt ekonomik hem kaliteli çoğu yeni model araçtan iyi hemde sorunsuz geçen yıl 2006 hb benzin lpg aldım gerçekten çok çok iyi,2025-12-26T21:23:55.000Z
@Onr1925_,Toyota al reyis,2025-12-26T21:46:36.000Z
@miracsa,Opel Astra J Kasa 1.4 Turbo Otomatik(2011-2015 arası) öneririm ama temizi için bütçeyi biraz yükseltmek gerekebilir.,2025-12-26T21:16:08.000Z
@eren4lp_,japon ve koreden tipini en beğendiğin araba ne ise o tüplü seviyosan tüplü al dizel seviyosan dizel ne alıyosan al japon kore al,2025-12-26T21:24:47.000Z
@grkmozctn,Toyota Corolla tüm serileri olabilir 750 civarı 1.33 life bakabilirsin,2025-12-26T21:06:27.000Z
@PalaNisebin,Kangoo III,2025-12-26T21:12:48.000Z
@cll_ztrk_,2008 2009 c 180 bir sürü çiçek gibi tertemiz  araba var o paralara yıldız yıldızdır,2025-12-26T20:55:59.000Z
@orhan19866,"İkinci el al sat yapmak değil de sorunsuz uzun süre kullanım ihtiyacın var ise Mazda araçlara da bakabilirsin, o bütçe ile 2012-2015 arası model bulabilirsin. Mazda’yı kullananlar bilir yurtdışında en sorunsuz araç seçilmiştir, bir araştır derim",2025-12-26T21:08:46.000Z
@SavulMesut,Honda cıvıc 2009 Corolla 2010 model araçlar,2025-12-26T21:01:17.000Z
@All_is_well_40,"Honda Civic 1.6 otomatik. Sonrasında Toyota Corolla olabilir. Modelli olsun, az yaksın derseniz Citroen Elysee 1.6 veya 1.5 dizel manuel vites.  Çok gitsin, az yaksın derseniz C Elysee, otomatik olsun, yaşı önemli değil derseniz Civic tercihim olurdu.",2025-12-26T20:21:50.000Z
@huseyindelen2,"Renoult Tailant al Reis, araç özellikli değil ama seni yolda da bırakmaz. Üzerine sedan ve otomatik",2025-12-26T21:09:45.000Z
@ritmixdrum,Toyota,2025-12-26T21:51:05.000Z
@Kargiyoresel,Mazda 3  2004/2008,2025-12-26T21:22:26.000Z
@esbaygin,Fiyat Egea mümkünse 1.3 dizel,2025-12-26T21:02:00.000Z
@ONURKucuko69732,"Opel astra j kasa  1.3  dizel , 1.6 dizel  güzeldir konfor desen var saglamlık var kalite var  temizse yıllık bakım hariç sanayiye ugramazsın",2025-12-26T20:45:15.000Z
@TalhaAtar,Konfora takılmazsanız dacia veya renault herhangi bir 1.5 dci motor alın eşek gibi kullanın,2025-12-26T20:44:14.000Z
@FuatKetenci,KiA rio 1.4 CRDI consept 2017  720bin TL kazasız hasarsız boyasız bulabilirsen Al bana nasip oldu bugün aldım sarı sayfalar da 3 gün önce ilana koymuştu arkadaş gittim baktım yazdığı gibi KM orjinal Dolu donanım olarak tavsiye ederim,2025-12-26T21:14:48.000Z
@utkuhan09,Aslında kişi kendine göre yorum yapar araç da öyledir ne aradığını bilmen lazım parçası tamiri uygun araç istersen fiat ama Tamirci görmek istemiyorum dersen Toyota ama bana sorarsan Toyota derim yağını suyunu ihmal etme sanayiye sokmaz..,2025-12-26T21:36:05.000Z
@alicangzm1,Megane 3 1.5dci,2025-12-26T21:21:33.000Z
@orhanymnnn,2018-2019 Citroen celysee 1.6 dizel. Asla pişman olmazsın,2025-12-26T20:55:13.000Z
@Fikrikik,C4 ehdi,2025-12-26T20:45:11.000Z
@mhmtdbk,1.6 auris,2025-12-26T21:43:25.000Z
@rvardar16,Albea,2025-12-26T21:49:10.000Z
@Ebubekir_al88,Peugeot 301 / Citroen elize,2025-12-26T20:34:23.000Z
@M_Akbulutt,"Focus olur, Güzel olur, muadillerine göre çok daha uygundur",2025-12-26T21:42:11.000Z
@GokgozTask,Fiat Freemont 2013 modelleri 700-800 bin arasında 7 kişilik şahane bir SUV araç bunu bir düşün derim 2.0 170 beygir,2025-12-26T21:17:41.000Z
@YunusEm30267668,Honda fd6 2010 mantıklı sıfır sorun yakıtını koy git,2025-12-26T21:11:34.000Z
@KalucEngin,Daha düşük bütçe ve sağlam araba düşük model ve km az Renault modus,2025-12-26T21:53:03.000Z
@ozeralirza61,Ford b max,2025-12-26T21:30:04.000Z
@emrahakbas28,Toyota corolla,2025-12-26T20:46:38.000Z
@arslnts254,Toyota corolla 1.33  al kafan rahat etsin,2025-12-26T21:01:22.000Z
@hrnofis,Aile aracı uzun yolda da konfor diyorsan Ford CMax. Titanyum paketi yapıştır keyfine bak,2025-12-26T21:19:34.000Z
@serhatshenel,Passat sw,2025-12-26T20:13:55.000Z
@Kurtoglu3313,2013 modrl skoda octavia aldim 800.000 tl ye çok memnunum,2025-12-26T21:29:34.000Z
@MsBakar,Ne istediğine bağlı sorunsuz+piyasası olan istersen egea 1.3 astra 1.3 corolla 1.6  Sorunsuz+konfor olsun ama piyasası yavaş olsa da olur dersen latitude 1.5 dci citroen c5 1.6 ehdi . (Yazdıklarımın hemen hemen hepsinin yakıt tüketimi oldukça azdır),2025-12-26T21:43:51.000Z
@OnurBarni,Hocam 2020 başında sıfır egea almıştım 1.4 sakin araç kullanan biri olarak gayet yeterli. Sonra 2021 yılında onu sattım 2 katı parasına 2019 corolla hibrit en dolusunu aldım. 3 sene de onu kullandım. Şu an sizin bütçe bende olsa gider mümkünse easy olmasın egea alırdım çok net...,2025-12-26T21:05:36.000Z
@erdemdurukann,Mazda alın .,2025-12-26T20:50:04.000Z
@mtezcanala,Hiç düşünmeyin  Toyota diyenlere sizde katılın kafanız rahat etsin Japon kimi üzmüş,2025-12-26T20:36:11.000Z
@redloversss,Sanayide bir kaç gün gez dolaş çaylarını iç az çok kafanda oturur.,2025-12-26T20:59:44.000Z
@irfansarli,LİNEA 1.5,2025-12-26T21:41:49.000Z
@pirobisx,Auris 16 cvt atmosferik,2025-12-26T21:41:34.000Z
@Onur59151476,Corolla candır ,2025-12-26T21:32:43.000Z
@ARC__1987,2022 1.4 egea al bozulmaz kafan rahat,2025-12-26T20:32:41.000Z
@zeynkadir34,Abi selam güzel bir forum açmışsın. Ben de aynı bütçe ile arabadan anlamayan olarak arıyorum. Ekseri öneri nedir?,2025-12-26T20:06:02.000Z
@Mert86771808,Manuel düşünülürde Corolla bence güzel arabadır hocam bu fiyata manuel araba biraz modeli eski km si olan ama temiz araç bulma ihtimaliniz var bence. Otamatik araçlarda bu yok ne yazikki ama manuel sağlam bulunabiliyor hala .  hanenize hayırlısı neyse o gelsin ,2025-12-26T20:50:01.000Z
@mtugcem06,Fluence alabilirsiniz otomatık 1.5 dci 110 hp.. Performans olarakta güzel yakıt olarakta iyidir.  Piyasa arabası satarken de sorun yasamazsınız.,2025-12-26T20:41:42.000Z
@Emin_Alp_Arslan,Clio 1.5 dci Ustası çok parçası ucuz işçilik ucuz piyasası var,2025-12-26T20:50:06.000Z
@42BeratDeniz,1.6 Opel Astra,2025-12-26T21:26:25.000Z
@sclcvz,2.el temiz chevrolet trax kullanıyorum çok memnunum,2025-12-26T20:13:31.000Z
@daradiyarit,1.5 clio ıcon hayrlı olsun kardeşim,2025-12-26T21:37:40.000Z
@bulletwallet,2016 model Seat Toledo binici işi içi yayla gibi bagajı tartışmasız çoluk çombalak akar gider sanayi bilmez bakımdan bakıma takılırsın,2025-12-26T20:48:30.000Z
@Mustafa33164540,Corolla gerekaiz pahalı,2025-12-26T21:42:14.000Z
@shaddowfb,12-13-14 toyota corolla dertsiz tasasız,2025-12-26T20:18:39.000Z
@ugrshn06,Ben de bakıyorum. 600 bin bütçeyle başladım 2 ay önce. Şimdi 1 milyondan aşağı binilecek araç olmadığına ikna oldum.,2025-12-26T20:37:16.000Z
@b_barrik,Mazda 3,2025-12-26T20:32:15.000Z
@MaviTrabzon61,"Honda jazz, az yakar, kronik sorunu yok, dıştan küçük içi ferah, tek sorunu eşine kolay kaptırmak :)",2025-12-26T21:50:25.000Z
@selonizm,mitsubishi colt,2025-12-26T22:36:16.000Z
@vatanseverplus,Doğan sele çarpi,2025-12-26T20:36:31.000Z
@hsynars34,Corolla/301/ egea 1.3 multijet dertsiz araçlar bu bütçelere uygun çok temizleri bulunabilir.,2025-12-26T21:05:32.000Z
@ridvandnmzz,1.5dci Renault,2025-12-26T21:41:39.000Z
@MuratKA57907572,Ford C Max al konfor bagaj iç hacim 1.6 dizel sorunsuz motor. Bakımı yaptır arkana bakma.,2025-12-26T20:29:39.000Z
@FethiBeyazay,Megane 3 gt line sw 1.5 dci,2025-12-26T20:46:47.000Z
@Adamin_dibi06,"Sanayi de çevrem olsun, gider gelir çay içerim, hepsiyle arkadaş olurum demiyorsan, Honda yada Toyota al geç ..",2025-12-26T21:07:26.000Z
@codmuhendisi1,Honda fd6 kasa,2025-12-26T21:19:01.000Z
@blondielemon8,at hem belki kazanir bi arac almayi saglar,2025-12-26T21:24:47.000Z
@BarisaydinC,Polo,2025-12-27T21:44:59.000Z
@YaKeSe,"O paraya temiz Corolla ve Egea zor ama tertemiz Linea, 301 bulunur",2025-12-26T18:35:29.000Z
@KaanGezgin7693,"Toyota al, sanayicilerin sevmediği markadır ekmek çıkmaz kendilerine.",2025-12-26T21:13:56.000Z
@metinaxu,"Fiat Egea alma da, ne alırsan al. :))",2025-12-26T23:09:26.000Z
@mustafa97250804,linea egea clio,2025-12-26T20:54:49.000Z
·,Fiat egea,2025-12-26T20:35:54.000Z
@Nietzsche_7,Citroen c 4 çanakkalede fulledik gemliğe geldik 10 gündür depo bitmedi..,2025-12-26T21:38:26.000Z
@dnnbdk,Kimse buraya c elysee yazmamış galiba. Km düşük c elysee al üzmez,2025-12-26T21:00:59.000Z
@ManlySwanson,2012-2014 arası J kasa astra,2025-12-26T21:59:47.000Z
@Selbes13,Fluence,2025-12-26T20:57:00.000Z
@zenpirlanta,"Jennifer Lopez, Zen Pırlanta’nın tüm dünyadaki yeni marka elçisi oldu!",Unknown
@Ghost94HD,"Toyota Auris  , Fiat Egea  , Renault Scenic , Üzmez",2025-12-26T21:34:34.000Z
@MehmetY393939,"2012 modellerde jetta falan olur çokta yeni araba alınmaz o paralara küçük bişey alma kibrit kutusu kadar araba otobanda uçar gider altından, jetta uygundur bence büyüklüğü falan ideal",2025-12-26T20:22:19.000Z
@isikenes1,Çok aile arabasi istersen corollaya göre daha genç modelini bulabilecegin toyota verso 1.6 olur elegant paketini alırsanız doluluk açısından da üzmez,2025-12-26T21:12:20.000Z
@DAIMAEVREN,Yani linç yiyeceğim ama aile arabası dendiğinde Renault.,2025-12-26T21:05:30.000Z
@sametmoralii,Honda civic,2025-12-26T20:33:54.000Z
@konforalani,Aile arabasi diyemeyiz belki ama i20.,2025-12-26T20:22:33.000Z
@armialpi61,fluance,2025-12-26T20:56:53.000Z
@PorosFatum,Jazz,2025-12-26T20:07:15.000Z
@HKayabas,Toyota corolla,2025-12-26T20:51:45.000Z
@EmreRna,1.6 tdci mondeo bak o fiyatlara var mı bilmiyorum alabiliyorsan al titanyum alıxaksın led far opsiyonlu olsun sonra gel bana dua et,2025-12-26T21:42:35.000Z
@zopzekil,2010 CX7 2.2 Dizel,2025-12-26T21:08:42.000Z
@ceyhan_mustafa,Üç silindir almada toyota hyundai bulursan al opele yanaşma,2025-12-26T21:30:45.000Z
@smiljan1856,Skoda Octavia ama bütçenize göre biraz yüksek km ve büyük yaş olacaktır .,2025-12-26T20:53:15.000Z
@KendinGor,Benzinli courier,2025-12-26T21:33:01.000Z
@sergennfidan,850 bin TL’ye jetta var isteyene,2025-12-26T21:03:32.000Z
@aliate29554363,2008  civarı  120 000 km  altı temiz  kullanılmış honda  civic  bulursanız   hiç  düşünmeden  alabilirsiniz.,2025-12-26T21:49:25.000Z
@_kultigin_,"O paraya egea, C-elyse, 301 yeni model bulunur. Dizel almaya bak. Yıl 2025 küçük atmosferik motor gerçekten yoruyor. Duster bulabilirsin 1.5dci sorun çıkarmaz. Biraz yaşlı ama Qashgai olabilir. Duster ve 301in konforunun kötü olduğunu biliyorum. Binmedim ama fokuslarda var.",2025-12-26T20:47:12.000Z
@kocgmath,taliant,2025-12-26T21:18:10.000Z
@Erdinirin3,Clio 1.5 dci,2025-12-26T20:47:27.000Z
@emrwcoskun,Şeytan dıbeji 700milyar kredi lexa avrupa,2025-12-26T20:48:41.000Z
@miracinancc,Egea,2025-12-26T20:56:04.000Z
@Serdar091219,Bende 88 tanus var 60 bine aldim 30 masraf ettim canavar gibi araba şehir içinde hiç sorun cikarmadi,2025-12-26T20:26:31.000Z
@cakmanayk,Totoya corolla al geç,2025-12-26T20:54:30.000Z
@bediiirr,Renault megan,2025-12-26T20:57:33.000Z
@niyazi_pacal,Clio 5 dizel  1.5. 90 beygir  bakımdan bakıma masrafsız,2025-12-26T20:56:45.000Z
@Muratkazan,"Clio 1,5 dizel",2025-12-26T21:51:30.000Z
@tyln___,Hyundai i20 / 2016 model,2025-12-26T20:39:38.000Z
@alija_helly,corolla e140-150,2025-12-26T20:46:54.000Z
@Zakir0834,2012 model Renault scenic privilage 1.5 dizel 110 beygir konfor çevik atak geniş bagaj cam tavan sunroof off off off tadından yenmiyor,2025-12-26T21:26:28.000Z
@Bjknando9,Accent blue,2025-12-26T20:47:15.000Z
@bilgehan_kantar,Egea ile corolla aynı cümlede geçemez. Egea corollanın yanında motosiklettir.,2025-12-26T21:04:40.000Z
@Tlgrn35,Honda jaZz,2025-12-26T21:26:59.000Z
@Saglam_Trade07,Honda kaza,2025-12-26T21:09:39.000Z
@niburuenki,Honda jazzz,2025-12-26T21:16:29.000Z
@Smashpage,Hyundai Accent Blue 1.6 olur 1.4 olur 2015 ve üstü 136 beygir. Güzel arabadır. Dertsiz tasasız ben 5 yıl kullandım. Tavsiye ederim.,2025-12-27T11:34:58.000Z
@MBayram52,Araba yarışı yapmayacaksanız 1.4 egea.  Bak taksiciler hep onu kullanıyor. Gideri az. Tamiri kolay.,2025-12-26T20:18:18.000Z
@MahiDevran2000,Linea,2025-12-26T20:08:46.000Z
@OrkunBurakAyte1,Şirket aracım 1.4 egea sedan. Yani öyle performans beklemezsen komforlu sayılabilecek fiyat performans aracı denilebilir.,2025-12-26T20:34:53.000Z
@hakkiddogan,2 inci elde genel kaide minimum arıza istatistiği olmali bence. Yoksa her arabanin bir şekilde kazalisi ve temizi mevcut.,2025-12-26T20:57:56.000Z
@bultenci,O fiyata varsa eğer Subaru’nun nesini bulursanız alın.,2025-12-26T20:37:52.000Z
@driesnando,"PSA grubundan 1.6 HDI bir araç önerebilirim, motoru bakımlı olmak şartıyla.",2025-12-26T20:37:40.000Z
@BBerkay_Akkaya,Chevrolet Cruze,2025-12-26T20:08:36.000Z
@SemihCe89754078,"Honda ömürlük , volkswagen",2025-12-26T21:24:52.000Z
@ilhan_bilgin,İ20 otomatik LPG'li,2025-12-26T20:31:40.000Z
@AhmetGr88045850,Honda fd6 veya temiz flunce otomatik al hocam temiz olursa Honda bakımını yap sanayi düşmani,2025-12-26T20:21:40.000Z
@karakuncula,Honda jazz düşürebilirsen gözün kapalı al. Bagajı da sedan kadar var.,2025-12-26T20:17:28.000Z
@omer1657,Al Egea 1.6 Dizel otomatik otur aşşa Parana göre de paketine  ve hasarına bakarsın,2025-12-26T21:05:09.000Z
